split,feature_set,model,fold,n_test,seconds,n_trials,seeds_per_trial,accuracy,f1_weighted,f1_class0,f1_class1,auc_roc
lodo,bert,DecisionTree,saúde,143,177.7,200,3,0.5664335664335665,0.5573323118305126,0.4918032786885246,0.6219512195121951,0.5979068857589984
lodo,bert,DecisionTree,celebridades,8,225.0,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.875
lodo,bert,DecisionTree,economia,8,178.8,200,3,0.625,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.5625
lodo,bert,KNeighbors,política,435,60.7,200,3,0.632183908045977,0.6091602295333298,0.7047970479704797,0.5121951219512195,0.7339759851175377
temporal,bert,KNeighbors,all,99,77.7,200,3,0.7171717171717171,0.7139234842270117,0.7358490566037735,0.6956521739130435,0.8555555555555556
lodo,bert,KNeighbors,outros,44,79.7,200,3,0.7045454545454546,0.699134199134199,0.7346938775510204,0.6666666666666666,0.8561076604554866
lodo,bert,KNeighbors,ambiente,22,79.8,200,3,0.7272727272727273,0.717948717948718,0.7692307692307693,0.6666666666666666,0.768595041322314
lodo,bert,KNeighbors,saúde,143,75.6,200,3,0.6223776223776224,0.6159485675614709,0.5645161290322581,0.6666666666666666,0.702660406885759
lodo,bert,KNeighbors,celebridades,8,79.3,200,3,0.625,0.5636363636363637,0.7272727272727273,0.4,0.78125
lodo,bert,KNeighbors,economia,8,69.8,200,3,0.875,0.873015873015873,0.8888888888888888,0.8571428571428571,0.875
lodo,bert,RandomForest,economia,8,1393.0,200,3,0.625,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.625
lodo,bert,RandomForest,celebridades,8,2128.9,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.8125
lodo,bert,LightGBM,política,435,847.4,200,3,0.6735632183908046,0.6689227504520849,0.7090163934426229,0.6282722513089005,0.7754946727549469
temporal,bert,LightGBM,all,99,1708.6,200,3,0.7676767676767676,0.7681050132663035,0.7526881720430108,0.780952380952381,0.8316872427983539
lodo,bert,LightGBM,outros,44,3376.3,200,3,0.75,0.7496107939802802,0.7317073170731707,0.7659574468085106,0.8530020703933747
lodo,bert,LightGBM,saúde,143,3767.8,200,3,0.6853146853146853,0.6832689595555885,0.6564885496183206,0.7096774193548387,0.7748435054773083
lodo,bert,LightGBM,celebridades,8,3186.4,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.8125
lodo,bert,LightGBM,ambiente,22,4724.9,200,3,0.7272727272727273,0.725,0.75,0.7,0.884297520661157
lodo,bert,LightGBM,economia,8,3476.7,200,3,0.5,0.5,0.5,0.5,0.5
lodo,bert,XGBoost,política,435,5012.5,200,3,0.7103448275862069,0.7103448275862069,0.7123287671232876,0.7083333333333334,0.7784753932014206
temporal,bert,XGBoost,all,99,7072.3,200,3,0.7878787878787878,0.7883123519301342,0.7789473684210526,0.7961165048543689,0.8604938271604938
lodo,bert,XGBoost,ambiente,22,8162.6,200,3,0.7727272727272727,0.7722567287784678,0.7619047619047619,0.782608695652174,0.8677685950413223
lodo,bert,XGBoost,saúde,143,7255.5,200,3,0.7132867132867133,0.7053228560801649,0.6554621848739496,0.7544910179640718,0.8073161189358373
lodo,bert,XGBoost,outros,44,11983.0,200,3,0.7954545454545454,0.7938490081347225,0.7692307692307693,0.8163265306122449,0.8592132505175984
lodo,bert,XGBoost,celebridades,8,10110.8,200,3,0.625,0.5636363636363637,0.7272727272727273,0.4,0.8125
lodo,bert,XGBoost,economia,8,11592.4,200,3,0.5,0.5,0.5,0.5,0.5
lodo,bert_meta,LogisticRegression,ambiente,22,128.1,200,3,0.8181818181818182,0.8166666666666668,0.8333333333333334,0.8,0.9008264462809916
lodo,bert_meta,LogisticRegression,política,435,165.9,200,3,0.7379310344827587,0.7362761787877588,0.7164179104477612,0.7564102564102564,0.8230170810079485
temporal,bert_meta,LogisticRegression,all,99,194.1,200,3,0.8282828282828283,0.8282828282828283,0.8282828282828283,0.8282828282828283,0.8831275720164607
lodo,bert_meta,LogisticRegression,saúde,143,139.0,200,3,0.7762237762237763,0.7757630604689428,0.7647058823529411,0.7866666666666666,0.8640453834115805
lodo,bert_meta,LogisticRegression,outros,44,347.0,200,3,0.8863636363636364,0.8854790772279095,0.8936170212765957,0.8780487804878049,0.9730848861283644
temporal,bert_meta,SVC,all,99,101.3,200,3,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.8720164609053498
lodo,bert_meta,SVC,política,435,23.8,200,3,0.7195402298850575,0.7170927961412467,0.6919191919191919,0.7426160337552743,0.8056823947234907
lodo,bert_meta,LogisticRegression,celebridades,8,323.2,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.8125
lodo,bert_meta,SVC,outros,44,150.7,200,3,0.8409090909090909,0.8406614143510874,0.8292682926829268,0.851063829787234,0.9316770186335404
lodo,bert_meta,SVC,ambiente,22,159.7,200,3,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9090909090909092
lodo,bert_meta,SVC,saúde,143,89.1,200,3,0.7342657342657343,0.7306804306804305,0.6984126984126984,0.7625,0.8448748043818467
lodo,bert_meta,SVC,celebridades,8,136.1,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.875
lodo,bert_meta,SVC,economia,8,151.7,200,3,0.75,0.75,0.75,0.75,0.8125
lodo,bert_meta,LogisticRegression,economia,8,488.9,200,3,0.75,0.75,0.75,0.75,0.875
lodo,bert_meta,RandomForest,ambiente,22,236.6,200,3,0.7727272727272727,0.7722567287784678,0.782608695652174,0.7619047619047619,0.8760330578512396
lodo,bert_meta,RandomForest,política,435,269.1,200,3,0.7563218390804598,0.7540850188004794,0.7782426778242678,0.7295918367346939,0.8306908506680197
temporal,bert_meta,RandomForest,all,99,376.7,200,3,0.8282828282828283,0.8285993576316157,0.8172043010752689,0.8380952380952381,0.8921810699588477
lodo,bert_meta,RandomForest,celebridades,8,393.1,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.875
lodo,bert_meta,RandomForest,economia,8,474.8,200,3,0.625,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.75
lodo,bert_meta,RandomForest,saúde,143,521.7,200,3,0.7202797202797203,0.7165057165057166,0.6825396825396826,0.75,0.8339201877934272
lodo,bert_meta,RandomForest,outros,44,764.3,200,3,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9358178053830228
lodo,bert_num,LogisticRegression,política,435,11.1,200,3,0.7264367816091954,0.7181634809336278,0.7671232876712328,0.6685236768802229,0.83179012345679
lodo,bert_num,LogisticRegression,outros,44,65.7,200,3,0.8409090909090909,0.8409913084331688,0.8372093023255814,0.8444444444444444,0.937888198757764
lodo,bert_num,LogisticRegression,celebridades,8,55.3,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.75
lodo,bert_num,LogisticRegression,saúde,143,147.9,200,3,0.7482517482517482,0.7477334430275607,0.7352941176470589,0.76,0.841549295774648
lodo,bert_num,LogisticRegression,ambiente,22,187.7,200,3,0.8636363636363636,0.8633540372670807,0.8695652173913043,0.8571428571428571,0.9338842975206612
lodo,bert_num,SVC,política,435,32.5,200,3,0.7264367816091954,0.7259966923967278,0.7159904534606205,0.7361419068736141,0.805280737358363
temporal,bert_num,LogisticRegression,all,99,254.4,200,3,0.797979797979798,0.7977736549165121,0.8,0.7959183673469388,0.8777777777777778
temporal,bert_num,SVC,all,99,134.1,200,3,0.7474747474747475,0.7479402318111995,0.7311827956989247,0.7619047619047619,0.8695473251028807
lodo,bert_num,SVC,outros,44,140.9,200,3,0.9318181818181818,0.9317120347218946,0.926829268292683,0.9361702127659576,0.9523809523809524
lodo,bert_num,SVC,saúde,143,112.5,200,3,0.7622377622377622,0.7613972829997967,0.746268656716418,0.7763157894736842,0.860426447574335
lodo,bert_num,SVC,ambiente,22,167.8,200,3,0.8181818181818182,0.8166666666666668,0.8,0.8333333333333334,0.9008264462809916
lodo,bert_num,LogisticRegression,economia,8,322.6,200,3,0.625,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.75
lodo,bert_num,SVC,celebridades,8,203.9,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.8125
lodo,bert_num,SVC,economia,8,195.7,200,3,0.625,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.6875
lodo,bert_num,RandomForest,política,435,214.3,200,3,0.7540229885057471,0.7524680358924986,0.772823779193206,0.731829573934837,0.8166328428885506
temporal,bert_num,RandomForest,all,99,582.4,200,3,0.8282828282828283,0.8286338087053469,0.8210526315789474,0.8349514563106796,0.8876543209876543
lodo,bert_num,RandomForest,saúde,143,492.9,200,3,0.7412587412587412,0.7373245884550232,0.704,0.7701863354037267,0.8194444444444444
lodo,bert_num,RandomForest,ambiente,22,876.7,200,3,0.7727272727272727,0.7722567287784678,0.782608695652174,0.7619047619047619,0.859504132231405
lodo,bert_num,RandomForest,outros,44,920.4,200,3,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9213250517598344
lodo,bert_llm,LogisticRegression,política,435,52.0,200,3,0.7609195402298851,0.7603367138239504,0.7729257641921398,0.7475728155339806,0.8297395569085068
temporal,bert_llm,LogisticRegression,all,99,243.3,200,3,0.8484848484848485,0.848794537092953,0.8421052631578947,0.8543689320388349,0.911522633744856
