protocol,model,overlap_definition,author_seen,n,accuracy
temporal,bert_meta-SVC,author_seen_in_fit_train,True,20,0.9
temporal,bert_num-LogisticRegression,author_seen_in_development,False,71,0.7605633802816901
temporal,bert_num-LogisticRegression,author_seen_in_development,True,28,0.8928571428571429
temporal,bert_num-LogisticRegression,author_seen_in_fit_train,False,79,0.7721518987341772
temporal,bert_num-LogisticRegression,author_seen_in_fit_train,True,20,0.9
temporal,bert_num-RandomForest,author_seen_in_development,False,71,0.8169014084507042
temporal,bert_num-RandomForest,author_seen_in_development,True,28,0.8571428571428571
temporal,bert_num-RandomForest,author_seen_in_fit_train,False,79,0.810126582278481
temporal,bert_num-RandomForest,author_seen_in_fit_train,True,20,0.9
temporal,bert_num-SVC,author_seen_in_development,False,71,0.704225352112676
temporal,bert_num-SVC,author_seen_in_development,True,28,0.8571428571428571
temporal,bert_num-SVC,author_seen_in_fit_train,False,79,0.6962025316455697
temporal,bert_num-SVC,author_seen_in_fit_train,True,20,0.95
temporal,tfidf-DecisionTree,author_seen_in_development,False,71,0.676056338028169
temporal,tfidf-DecisionTree,author_seen_in_development,True,28,0.7142857142857143
temporal,tfidf-DecisionTree,author_seen_in_fit_train,False,79,0.6708860759493671
temporal,tfidf-DecisionTree,author_seen_in_fit_train,True,20,0.75
temporal,tfidf-GradientBoosting,author_seen_in_development,False,71,0.6056338028169014
temporal,tfidf-GradientBoosting,author_seen_in_development,True,28,0.7857142857142857
temporal,tfidf-GradientBoosting,author_seen_in_fit_train,False,79,0.6075949367088608
temporal,tfidf-GradientBoosting,author_seen_in_fit_train,True,20,0.85
temporal,tfidf-KNeighbors,author_seen_in_development,False,71,0.5352112676056338
temporal,tfidf-KNeighbors,author_seen_in_development,True,28,0.6785714285714286
temporal,tfidf-KNeighbors,author_seen_in_fit_train,False,79,0.5316455696202531
temporal,tfidf-KNeighbors,author_seen_in_fit_train,True,20,0.75
temporal,tfidf-LightGBM,author_seen_in_development,False,71,0.6901408450704225
temporal,tfidf-LightGBM,author_seen_in_development,True,28,0.6071428571428571
temporal,tfidf-LightGBM,author_seen_in_fit_train,False,79,0.6835443037974683
temporal,tfidf-LightGBM,author_seen_in_fit_train,True,20,0.6
temporal,tfidf-LogisticRegression,author_seen_in_development,False,71,0.6197183098591549
temporal,tfidf-LogisticRegression,author_seen_in_development,True,28,0.7857142857142857
temporal,tfidf-LogisticRegression,author_seen_in_fit_train,False,79,0.620253164556962
temporal,tfidf-LogisticRegression,author_seen_in_fit_train,True,20,0.85
temporal,tfidf-MultinomialNB,author_seen_in_development,False,71,0.5492957746478874
temporal,tfidf-MultinomialNB,author_seen_in_development,True,28,0.6428571428571429
temporal,tfidf-MultinomialNB,author_seen_in_fit_train,False,79,0.5443037974683544
temporal,tfidf-MultinomialNB,author_seen_in_fit_train,True,20,0.7
temporal,tfidf-RandomForest,author_seen_in_development,False,71,0.7183098591549296
temporal,tfidf-RandomForest,author_seen_in_development,True,28,0.75
temporal,tfidf-RandomForest,author_seen_in_fit_train,False,79,0.7215189873417721
temporal,tfidf-RandomForest,author_seen_in_fit_train,True,20,0.75
temporal,tfidf-SVC,author_seen_in_development,False,71,0.6338028169014085
temporal,tfidf-SVC,author_seen_in_development,True,28,0.7142857142857143
temporal,tfidf-SVC,author_seen_in_fit_train,False,79,0.620253164556962
temporal,tfidf-SVC,author_seen_in_fit_train,True,20,0.8
temporal,tfidf-XGBoost,author_seen_in_development,False,71,0.6197183098591549
temporal,tfidf-XGBoost,author_seen_in_development,True,28,0.6071428571428571
temporal,tfidf-XGBoost,author_seen_in_fit_train,False,79,0.620253164556962
temporal,tfidf-XGBoost,author_seen_in_fit_train,True,20,0.6
