model_a,model_b,a_acc,b_acc,delta_acc,n,n10,n01,statistic,p_value
bert-SVC,tfidf-LogisticRegression,0.8383838383838383,0.6666666666666666,0.1717171717171717,99,25,8,8.0,0.004551384132355452
bert-SVC,tfidf-MultinomialNB,0.8383838383838383,0.5757575757575758,0.26262626262626254,99,31,5,5.0,1.2913485988974571e-05
bert-SVC,tfidf-RandomForest,0.8383838383838383,0.7272727272727273,0.11111111111111105,99,19,8,8.0,0.052238985896110535
bert-SVC,tfidf-SVC,0.8383838383838383,0.6565656565656566,0.18181818181818177,99,24,6,6.0,0.0014309063553810122
bert-SVC,tfidf-XGBoost,0.8383838383838383,0.6161616161616161,0.2222222222222222,99,30,8,8.0,0.0004719867429230362
bert-XGBoost,bert_llm-LogisticRegression,0.7878787878787878,0.8484848484848485,-0.06060606060606066,99,3,9,3.0,0.14599609375
bert-XGBoost,bert_llm-RandomForest,0.7878787878787878,0.8484848484848485,-0.06060606060606066,99,2,8,2.0,0.109375
bert-XGBoost,bert_llm-SVC,0.7878787878787878,0.8585858585858586,-0.07070707070707072,99,3,10,3.0,0.09228515625
bert-XGBoost,bert_meta-LogisticRegression,0.7878787878787878,0.8282828282828283,-0.04040404040404044,99,7,11,7.0,0.480682373046875
bert-XGBoost,bert_meta-RandomForest,0.7878787878787878,0.8282828282828283,-0.04040404040404044,99,3,7,3.0,0.34375
bert-XGBoost,bert_meta-SVC,0.7878787878787878,0.7878787878787878,0.0,99,10,10,10.0,1.0
bert-XGBoost,bert_num-LogisticRegression,0.7878787878787878,0.797979797979798,-0.010101010101010166,99,7,8,7.0,1.0
bert-XGBoost,bert_num-RandomForest,0.7878787878787878,0.8282828282828283,-0.04040404040404044,99,2,6,2.0,0.2890625
bert-XGBoost,bert_num-SVC,0.7878787878787878,0.7474747474747475,0.04040404040404033,99,11,7,7.0,0.480682373046875
bert-XGBoost,tfidf-DecisionTree,0.7878787878787878,0.6868686868686869,0.101010101010101,99,20,10,10.0,0.09873714670538905
bert-XGBoost,tfidf-GradientBoosting,0.7878787878787878,0.6565656565656566,0.13131313131313127,99,20,7,7.0,0.0191572904586792
bert-XGBoost,tfidf-KNeighbors,0.7878787878787878,0.5757575757575758,0.21212121212121204,99,32,11,11.0,0.001913961001264397
bert-XGBoost,tfidf-LightGBM,0.7878787878787878,0.6666666666666666,0.12121212121212122,99,19,7,7.0,0.028959274291992188
bert-XGBoost,tfidf-LogisticRegression,0.7878787878787878,0.6666666666666666,0.12121212121212122,99,21,9,9.0,0.042773945257067694
bert-XGBoost,tfidf-MultinomialNB,0.7878787878787878,0.5757575757575758,0.21212121212121204,99,29,8,8.0,0.0007528970600105822
bert-XGBoost,tfidf-RandomForest,0.7878787878787878,0.7272727272727273,0.06060606060606055,99,15,9,9.0,0.30745625495910645
bert-XGBoost,tfidf-SVC,0.7878787878787878,0.6565656565656566,0.13131313131313127,99,20,7,7.0,0.0191572904586792
bert-XGBoost,tfidf-XGBoost,0.7878787878787878,0.6161616161616161,0.1717171717171717,99,23,6,6.0,0.002315700054168701
bert_llm-LogisticRegression,bert_llm-RandomForest,0.8484848484848485,0.8484848484848485,0.0,99,3,3,3.0,1.0
bert_llm-LogisticRegression,bert_llm-SVC,0.8484848484848485,0.8585858585858586,-0.010101010101010055,99,0,1,0.0,1.0
bert_llm-LogisticRegression,bert_meta-LogisticRegression,0.8484848484848485,0.8282828282828283,0.02020202020202022,99,7,5,5.0,0.7744140625
bert_llm-LogisticRegression,bert_meta-RandomForest,0.8484848484848485,0.8282828282828283,0.02020202020202022,99,4,2,2.0,0.6875
bert_llm-LogisticRegression,bert_meta-SVC,0.8484848484848485,0.7878787878787878,0.06060606060606066,99,10,4,4.0,0.1795654296875
bert_llm-LogisticRegression,bert_num-LogisticRegression,0.8484848484848485,0.797979797979798,0.0505050505050505,99,8,3,3.0,0.2265625
bert_llm-LogisticRegression,bert_num-RandomForest,0.8484848484848485,0.8282828282828283,0.02020202020202022,99,5,3,3.0,0.7265625
bert_llm-LogisticRegression,bert_num-SVC,0.8484848484848485,0.7474747474747475,0.101010101010101,99,13,3,3.0,0.021270751953125
bert_llm-LogisticRegression,tfidf-DecisionTree,0.8484848484848485,0.6868686868686869,0.16161616161616166,99,23,7,7.0,0.005222879350185395
bert_llm-LogisticRegression,tfidf-GradientBoosting,0.8484848484848485,0.6565656565656566,0.19191919191919193,99,26,7,7.0,0.0013187271542847157
bert_llm-LogisticRegression,tfidf-KNeighbors,0.8484848484848485,0.5757575757575758,0.2727272727272727,99,34,7,7.0,2.532080361561384e-05
bert_llm-LogisticRegression,tfidf-LightGBM,0.8484848484848485,0.6666666666666666,0.18181818181818188,99,22,4,4.0,0.0005335211753845215
bert_llm-LogisticRegression,tfidf-LogisticRegression,0.8484848484848485,0.6666666666666666,0.18181818181818188,99,25,7,7.0,0.0021024015732109547
bert_llm-LogisticRegression,tfidf-MultinomialNB,0.8484848484848485,0.5757575757575758,0.2727272727272727,99,33,6,6.0,1.429926123819314e-05
bert_llm-LogisticRegression,tfidf-RandomForest,0.8484848484848485,0.7272727272727273,0.12121212121212122,99,18,6,6.0,0.022655844688415527
bert_llm-LogisticRegression,tfidf-SVC,0.8484848484848485,0.6565656565656566,0.19191919191919193,99,26,7,7.0,0.0013187271542847157
bert_llm-LogisticRegression,tfidf-XGBoost,0.8484848484848485,0.6161616161616161,0.23232323232323238,99,29,6,6.0,0.0001168418675661087
